,TF,Target,Mode of Regulation,References
6,ABL1,BCL2,Repression,11753601
34,AHR,FOS,Unknown,10478842
56,APC,BIRC5,Unknown,11751382
104,AR,ERBB2,Activation,21613411
105,AR,ERBB2,Unknown,21741601
132,AR,MUC1,Repression,21308711
202,ARNT,ESR1,Unknown,17991765
203,ARNT,FOS,Repression,21544813
221,ARNTL2,SERPINE1,Activation,22198637
236,ATF1,BCL2,Unknown,10542244
242,ATF1,ERBB2,Unknown,10698518
258,ATF1,TGFB2,Activation,11776974
294,ATF2,TGFB2,Repression,1400310
354,ATF5,BCL2,Activation,21212266
359,ATF5,EGR1,Unknown,19531563
376,ATF7,ERBB2,Unknown,10698518
380,ATM,BCL2,Repression,16214353
410,BACH2,BCL2,Unknown,18929412
413,BARD1,ESR1,Activation,20060929
414,BARX2,ESR1,Unknown,16636675
474,BRCA1,EGR1,Unknown,20103632
477,BRCA1,ESR1,Activation,20060929
478,BRCA1,FOS,Unknown,11313879
499,BRCA1,KRT5,Unknown,16241993;19882246
599,CEBPA,BCL2,Repression,12970736
788,CIITA,MMP9,Repression,15247301
828,CREB1,BCL2,Activation,17290286
829,CREB1,BCL2,Unknown,10542244;19626458
846,CREB1,ERBB2,Unknown,10698518
849,CREB1,FOS,Unknown,12432566
972,CREM,FOS,Repression,21757709
1040,CTNNB1,BIRC5,Unknown,19662654;19778454
1076,DACH1,FOS,Repression,17182846
1085,DDB2,BCL2,Repression,20013802
1114,DEK,BCL2,Activation,17685435
1119,DENND4A,ERBB2,Repression,23421821
1132,DNMT1,BIRC5,Repression,17124180
1142,DNMT1,ESR1,Unknown,21655924;23242655
1194,E2F1,BCL2,Activation,11559537;12679318
1195,E2F1,BIRC5,Activation,17848598;19102934
1196,E2F1,BIRC5,Repression,19102934
1197,E2F1,BIRC5,Unknown,23449974
1307,E2F1,SERPINE1,Repression,11402043;11559366
1353,E2F4,BIRC5,Unknown,18504435
1524,EHMT2,BIRC5,Unknown,17124180
1533,ELF1,ERBB2,Unknown,7914192
1543,ELF3,MMP9,Repression,18302674
1554,ELF4,MMP9,Repression,12438253
1559,ELK1,ERBB2,Unknown,7914192
1561,ELK1,FOS,Unknown,11313879;11846562;20682780
1577,ELK4,FOS,Activation,9734357
1578,ELK4,FOS,Unknown,11846562
1594,EP300,BIRC5,Activation,19102934
1595,EP300,BIRC5,Repression,19102934
1614,EP300,ERBB2,Unknown,9045619
1629,EP300,MMP9,Activation,18985009
1659,EPAS1,SERPINE1,Activation,15039136
1664,ERCC2,BCL2,Repression,22387547
1709,ESR1,BCL2,Activation,19148464
1710,ESR1,BCL2,Unknown,10542244;11261829;9306964
1729,ESR1,CXCL12,Unknown,18563714
1737,ESR1,ESR1,Unknown,16636675
1741,ESR1,FOS,Unknown,10037443
1752,ESR1,KRT19,Activation,11026574
1763,ESR1,PGR,Activation,10894148;12554765
1764,ESR1,PGR,Unknown,10835496
1773,ESR1,SERPINE1,Activation,15217907
1797,ESR2,FOS,Unknown,10037443
1804,ESR2,SERPINE1,Repression,15217907
1847,ETS1,EGR1,Activation,19074849
1848,ETS1,EGR1,Unknown,9207063
1874,ETS1,MMP9,Activation,22270366
1875,ETS1,MMP9,Unknown,10949659;11556732
1923,ETS2,EGR1,Unknown,9207063
1934,ETS2,MMP9,Activation,12438253
1954,ETV4,ERBB2,Repression,10655108;15235125;16632435;17168666
1955,ETV4,ERBB2,Unknown,7914192
2088,FOS,FOS,Repression,2498646
2099,FOS,MMP9,Activation,18809380;21238464
2100,FOS,MMP9,Repression,21474819
2101,FOS,MMP9,Unknown,10935492;11774399
2116,FOS,PGR,Unknown,14684847
2161,FOXA1,BCL2,Repression,19127412
2165,FOXA1,ESR1,Unknown,20501593;24290378
2215,FOXF2,CXCL12,Activation,19562724
2261,FOXO1,EGR1,Repression,22865884
2286,FOXO3,BIRC5,Unknown,22056878
2320,FOXP3,ERBB2,Unknown,17570480
2341,GABPA,ERBB2,Unknown,7914192
2397,GATA1,MUC1,Unknown,17078870
2447,GATA3,ESR1,Unknown,17616709
2462,GATA3,MUC1,Activation,17078870
2477,GATA4,ERBB2,Repression,19276186
2519,GLI1,BCL2,Activation,19074837;21135115
2520,GLI1,BCL2,Repression,14555646
2521,GLI1,BCL2,Unknown,15520176;24739390
2539,GLI2,BCL2,Activation,16880536;21135115
2595,HDAC1,BIRC5,Unknown,17124180
2617,HDAC1,EGR1,Repression,21983014
2620,HDAC1,ESR1,Repression,18316616;20101232;23242655
2621,HDAC1,ESR1,Unknown,21655924
2622,HDAC1,FOS,Repression,17056544
2637,HDAC1,MMP9,Repression,22879913
2768,HDAC7,ESR1,Repression,21078666
2784,HDAC9,ESR1,Repression,19185986
2862,HIF1A,CXCL12,Unknown,12384916
2891,HIF1A,MUC1,Unknown,19141292
2907,HIF1A,SERPINE1,Unknown,11877282;14567996;17570486
2986,HMGN1,FOS,Unknown,17938209
3070,HOPX,FOS,Repression,19173292
3072,HOXA1,BCL2,Activation,12482855;15665309
3098,HOXA5,PGR,Activation,10875927
3174,HSF1,SERPINE1,Activation,17259369;19401454
